Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,-0.051,0.492,0.764,3601.595,hyp,km,None,None
3,0.006,0.426,0.746,3840.801,hyp,km,None,None
4,0.033,0.414,0.731,3999.051,hyp,km,None,None
5,0.022,0.381,0.78,3951.462,hyp,km,None,None
6,0.022,0.38,0.754,3974.576,hyp,km,None,None
2,-0.029,0.447,0.807,3382.402,hyp,agg,euclidean,ward
3,-0.045,0.405,0.743,3422.028,hyp,agg,euclidean,ward
4,0.032,0.392,0.767,3812.869,hyp,agg,euclidean,ward
5,0.031,0.394,0.714,3686.571,hyp,agg,euclidean,ward
6,0.025,0.409,0.684,3436.784,hyp,agg,euclidean,ward
2,-0.014,0.747,0.353,719.192,hyp,agg,euclidean,complete
3,0.107,0.37,0.651,1883.586,hyp,agg,euclidean,complete
4,0.107,0.364,0.612,1304.909,hyp,agg,euclidean,complete
5,0.061,0.403,0.601,2296.408,hyp,agg,euclidean,complete
6,0.081,0.377,0.585,2235.074,hyp,agg,euclidean,complete
2,-0.002,0.833,0.262,252.945,hyp,agg,euclidean,average
3,-0.045,0.634,0.423,1015.244,hyp,agg,euclidean,average
4,-0.045,0.632,0.369,681.27,hyp,agg,euclidean,average
5,0.172,0.47,0.45,930.148,hyp,agg,euclidean,average
6,0.171,0.447,0.485,784.702,hyp,agg,euclidean,average
2,-0.001,0.86,0.104,139.395,hyp,agg,euclidean,single
3,-0.002,0.817,0.142,114.169,hyp,agg,euclidean,single
4,-0.002,0.591,0.199,79.237,hyp,agg,euclidean,single
5,-0.003,0.591,0.187,67.47,hyp,agg,euclidean,single
6,0.003,0.246,0.294,54.384,hyp,agg,euclidean,single
